team_nick,gm,draft_year
49ers,Bill Walsh,1979
49ers,Bill Walsh,1980
49ers,Bill Walsh,1981
49ers,Bill Walsh,1982
49ers,Bill Walsh,1983
49ers,Bill Walsh,1984
49ers,Bill Walsh,1985
49ers,Bill Walsh,1986
49ers,Bill Walsh,1987
49ers,Bill Walsh,1988
49ers,Bill Walsh,1989
49ers,Bill Walsh,1990
49ers,Bill Walsh,1991
49ers,Bill Walsh,1992
49ers,Bill Walsh,1993
49ers,Bill Walsh,1994
49ers,Bill Walsh,1995
49ers,Bill Walsh,1996
49ers,Bill Walsh,1997
49ers,Bill Walsh,1998
49ers,Bill Walsh,1999
49ers,Bill Walsh,2000
49ers,Terry Donahue,2001
49ers,Terry Donahue,2002
49ers,Terry Donahue,2003
49ers,Terry Donahue,2004
49ers,Scot McCloughan,2005
49ers,Scot McCloughan,2006
49ers,Scot McCloughan,2007
49ers,Scot McCloughan,2008
49ers,Scot McCloughan,2009
49ers,Trent Baalke,2010
49ers,Trent Baalke,2011
49ers,Trent Baalke,2012
49ers,Trent Baalke,2013
49ers,Trent Baalke,2014
49ers,Trent Baalke,2015
49ers,Trent Baalke,2016
49ers,John Lynch,2017
Bears,Jim Finks,1975
Bears,Jim Finks,1976
Bears,Jim Finks,1977
Bears,Jim Finks,1978
Bears,Jim Finks,1979
Bears,Jim Finks,1980
Bears,Jim Finks,1981
Bears,Jim Finks,1982
Bears,Jerry Vainisi,1983
Bears,Jerry Vainisi,1984
Bears,Jerry Vainisi,1985
Bears,Jerry Vainisi,1986
Bears,Bill Tobin,1987
Bears,Bill Tobin,1988
Bears,Bill Tobin,1989
Bears,Bill Tobin,1990
Bears,Bill Tobin,1991
Bears,Bill Tobin,1992
Bears,Rod Graves,1993
Bears,Rod Graves,1994
Bears,Rod Graves,1995
Bears,Rod Graves,1996
Bears,Mark Hatley,1997
Bears,Mark Hatley,1998
Bears,Mark Hatley,1999
Bears,Mark Hatley,2000
Bears,Jerry Angelo,2001
Bears,Jerry Angelo,2002
Bears,Jerry Angelo,2003
Bears,Jerry Angelo,2004
Bears,Jerry Angelo,2005
Bears,Jerry Angelo,2006
Bears,Jerry Angelo,2007
Bears,Jerry Angelo,2008
Bears,Jerry Angelo,2009
Bears,Jerry Angelo,2010
Bears,Jerry Angelo,2011
Bears,Phil Emery,2012
Bears,Phil Emery,2013
Bears,Phil Emery,2014
Bears,Ryan Pace,2015
Bengals,Paul Brown,1968
Bengals,Paul Brown,1969
Bengals,Paul Brown,1970
Bengals,Paul Brown,1971
Bengals,Paul Brown,1972
Bengals,Paul Brown,1973
Bengals,Paul Brown,1974
Bengals,Paul Brown,1975
Bengals,Paul Brown,1976
Bengals,Paul Brown,1977
Bengals,Paul Brown,1978
Bengals,Paul Brown,1979
Bengals,Paul Brown,1980
Bengals,Paul Brown,1981
Bengals,Paul Brown,1982
Bengals,Paul Brown,1983
Bengals,Paul Brown,1984
Bengals,Paul Brown,1985
Bengals,Paul Brown,1986
Bengals,Paul Brown,1987
Bengals,Paul Brown,1988
Bengals,Paul Brown,1989
Bengals,Paul Brown,1990
Bengals,Mike Brown,1991
Bills,Stew Barber,1979
Bills,Stew Barber,1980
Bills,Stew Barber,1981
Bills,Stew Barber,1982
Bills,Kay Stephenson,1983
Bills,Terry Bledsoe,1984
Bills,Terry Bledsoe,1985
Bills,Bill Polian,1986
Bills,Bill Polian,1987
Bills,Bill Polian,1988
Bills,Bill Polian,1989
Bills,Bill Polian,1990
Bills,Bill Polian,1991
Bills,Bill Polian,1992
Bills,John Butler,1993
Bills,John Butler,1994
Bills,John Butler,1995
Bills,John Butler,1996
Bills,John Butler,1997
Bills,John Butler,1998
Bills,John Butler,1999
Bills,John Butler,2000
Bills,Tom Donahoe,2001
Bills,Tom Donahoe,2002
Bills,Tom Donahoe,2003
Bills,Tom Donahoe,2004
Bills,Tom Donahoe,2005
Bills,Marv Levy,2006
Bills,Marv Levy,2007
Bills,Russ Brandon,2008
Bills,Russ Brandon,2009
Bills,Russ Brandon,2010
Bills,Buddy Nix,2011
Bills,Buddy Nix,2012
Bills,Doug Whaley,2013
Bills,Doug Whaley,2014
Bills,Doug Whaley,2015
Bills,Doug Whaley,2016
Bills,Brandon Beane,2017
Broncos,Grady Alderman,1981
Broncos,Grady Alderman,1982
Broncos,Hein Poulus,1983
Broncos,John Beake,1984
Broncos,John Beake,1985
Broncos,John Beake,1986
Broncos,John Beake,1987
Broncos,John Beake,1988
Broncos,John Beake,1989
Broncos,John Beake,1990
Broncos,John Beake,1991
Broncos,John Beake,1992
Broncos,John Beake,1993
Broncos,John Beake,1994
Broncos,John Beake,1995
Broncos,John Beake,1996
Broncos,John Beake,1997
Broncos,John Beake,1998
Broncos,Neal Dahlen,1999
Broncos,Neal Dahlen,2000
Broncos,Neal Dahlen,2001
Broncos,Ted Sundquist,2002
Broncos,Ted Sundquist,2003
Broncos,Ted Sundquist,2004
Broncos,Ted Sundquist,2005
Broncos,Ted Sundquist,2006
Broncos,Ted Sundquist,2007
Broncos,Jim Goodman,2008
Broncos,Brian Xanders,2009
Broncos,Brian Xanders,2010
Broncos,John Elway,2011
Browns,Peter Hadhazy,1974
Browns,Peter Hadhazy,1975
Browns,Peter Hadhazy,1976
Browns,Peter Hadhazy,1977
Browns,Peter Hadhazy,1978
Browns,Peter Hadhazy,1979
Browns,Peter Hadhazy,1980
Browns,Peter Hadhazy,1981
Browns,Peter Hadhazy,1982
Browns,Peter Hadhazy,1983
Browns,Peter Hadhazy,1984
Browns,Ernie Accorsi,1985
Browns,Ernie Accorsi,1986
Browns,Ernie Accorsi,1987
Browns,Ernie Accorsi,1988
Browns,Ernie Accorsi,1989
Browns,Ernie Accorsi,1990
Browns,Ernie Accorsi,1991
Browns,Bill Belichick,1992
Browns,Bill Belichick,1993
Browns,Bill Belichick,1994
Browns,Bill Belichick,1995
Browns,Bill Belichick,1996
Browns,Bill Belichick,1997
Browns,Bill Belichick,1998
Browns,Dwight Clark,1999
Browns,Dwight Clark,2000
Browns,Dwight Clark,2001
Browns,Butch Davis,2002
Browns,Butch Davis,2003
Browns,Butch Davis,2004
Browns,Phil Savage,2005
Browns,Phil Savage,2006
Browns,Phil Savage,2007
Browns,Phil Savage,2008
Browns,George Kokinis,2009
Browns,Tom Heckert,2010
Browns,Tom Heckert,2011
Browns,Tom Heckert,2012
Browns,Michael Lombardi,2013
Browns,Ray Farmer,2014
Browns,Ray Farmer,2015
Browns,Sashi Brown,2016
Browns,Sashi Brown,2017
Browns,John Dorsey,2018
Browns,John Dorsey,2019
Browns,Andrew Berry,2020
Buccaneers,Phil Krueger,1978
Buccaneers,Phil Krueger,1979
Buccaneers,Phil Krueger,1980
Buccaneers,Phil Krueger,1981
Buccaneers,Phil Krueger,1982
Buccaneers,Phil Krueger,1983
Buccaneers,Phil Krueger,1984
Buccaneers,Phil Krueger,1985
Buccaneers,Phil Krueger,1986
Buccaneers,Phil Krueger,1987
Buccaneers,Phil Krueger,1988
Buccaneers,Phil Krueger,1989
Buccaneers,Phil Krueger,1990
Buccaneers,Phil Krueger,1991
Buccaneers,Sam Wyche,1992
Buccaneers,Sam Wyche,1993
Buccaneers,Sam Wyche,1994
Buccaneers,Rich McKay,1995
Buccaneers,Rich McKay,1996
Buccaneers,Rich McKay,1997
Buccaneers,Rich McKay,1998
Buccaneers,Rich McKay,1999
Buccaneers,Rich McKay,2000
Buccaneers,Rich McKay,2001
Buccaneers,Rich McKay,2002
Buccaneers,Rich McKay,2003
Buccaneers,Bruce Allen,2004
Buccaneers,Bruce Allen,2005
Buccaneers,Bruce Allen,2006
Buccaneers,Bruce Allen,2007
Buccaneers,Bruce Allen,2008
Buccaneers,Mark Dominik,2009
Buccaneers,Mark Dominik,2010
Buccaneers,Mark Dominik,2011
Buccaneers,Mark Dominik,2012
Buccaneers,Mark Dominik,2013
Buccaneers,Jason Licht,2014
Cardinals,Larry Wilson,1980
Cardinals,Larry Wilson,1981
Cardinals,Larry Wilson,1982
Cardinals,Larry Wilson,1983
Cardinals,Larry Wilson,1984
Cardinals,Larry Wilson,1985
Cardinals,Larry Wilson,1986
Cardinals,Larry Wilson,1987
Cardinals,Larry Wilson,1988
Cardinals,Larry Wilson,1989
Cardinals,Larry Wilson,1990
Cardinals,Larry Wilson,1991
Cardinals,Larry Wilson,1992
Cardinals,Larry Wilson,1993
